Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,0.0002
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.000e-03,2.8
-1.800e-03,2.8
-1.600e-03,2.8
-1.400e-03,2.72
-1.200e-03,2.72
-1.000e-03,2.8
-8.000e-04,2.8
-6.000e-04,2.8
-4.000e-04,2.8
-2.000e-04,2.8
1.000e-15,2.8
2.000e-04,2.8
4.000e-04,2.8
6.000e-04,2.72
8.000e-04,2.8
1.000e-03,2.8
1.200e-03,2.8
1.400e-03,2.8
1.600e-03,2.96
1.800e-03,2.96
2.000e-03,2.8
2.200e-03,2.8
2.400e-03,2.88
2.600e-03,2.88
2.800e-03,2.96
3.000e-03,2.96
3.200e-03,2.96
3.400e-03,2.96
3.600e-03,3.04
3.800e-03,2.96
4.000e-03,3.04
4.200e-03,2.96
4.400e-03,2.96
4.600e-03,3.04
4.800e-03,3.04
5.000e-03,2.96
5.200e-03,2.96
5.400e-03,2.88
5.600e-03,2.88
5.800e-03,2.88
6.000e-03,2.96
6.200e-03,2.8
6.400e-03,2.8
6.600e-03,2.8
6.800e-03,2.8
7.000e-03,2.88
7.200e-03,2.88
7.400e-03,2.88
7.600e-03,2.8
7.800e-03,2.72
8.000e-03,2.8
8.200e-03,2.8
8.400e-03,2.8
8.600e-03,2.8
8.800e-03,2.8
9.000e-03,2.8
9.200e-03,2.88
9.400e-03,2.8
9.600e-03,2.96
9.800e-03,2.88
1.000e-02,2.88
1.020e-02,2.88
1.040e-02,2.88
1.060e-02,2.96
1.080e-02,2.96
1.100e-02,2.96
1.120e-02,2.96
1.140e-02,3.04
1.160e-02,3.04
1.180e-02,3.04
1.200e-02,3.04
1.220e-02,2.96
1.240e-02,3.04
1.260e-02,3.04
1.280e-02,3.04
1.300e-02,2.96
1.320e-02,2.96
1.340e-02,2.96
1.360e-02,2.96
1.380e-02,3.04
1.400e-02,2.96
1.420e-02,2.96
1.440e-02,2.88
1.460e-02,2.88
1.480e-02,2.8
1.500e-02,2.8
1.520e-02,2.88
1.540e-02,2.8
1.560e-02,2.88
1.580e-02,2.96
1.600e-02,2.96
1.620e-02,2.8
1.640e-02,2.8
1.660e-02,2.88
1.680e-02,2.8
1.700e-02,2.8
1.720e-02,2.8
1.740e-02,2.8
1.760e-02,2.8
1.780e-02,2.88
1.800e-02,2.8
1.820e-02,2.96
1.840e-02,2.96
1.860e-02,2.88
1.880e-02,2.88
1.900e-02,2.96
1.920e-02,2.96
1.940e-02,2.88
1.960e-02,3.04
1.980e-02,3.04
2.000e-02,3.04
2.020e-02,3.12
2.040e-02,3.04
2.060e-02,3.04
2.080e-02,2.96
2.100e-02,2.96
2.120e-02,2.96
2.140e-02,3.04
2.160e-02,3.04
2.180e-02,2.96
2.200e-02,2.96
2.220e-02,2.96
2.240e-02,2.96
2.260e-02,2.88
2.280e-02,2.88
2.300e-02,2.88
2.320e-02,2.88
2.340e-02,2.8
2.360e-02,2.88
2.380e-02,2.88
2.400e-02,2.88
2.420e-02,2.8
2.440e-02,2.8
2.460e-02,2.88
2.480e-02,2.8
2.500e-02,2.96
2.520e-02,2.88
2.540e-02,2.88
2.560e-02,2.88
2.580e-02,2.88
2.600e-02,2.8
2.620e-02,2.88
2.640e-02,2.88
2.660e-02,2.96
2.680e-02,2.96
2.700e-02,2.96
2.720e-02,3.04
2.740e-02,3.04
2.760e-02,2.96
2.780e-02,3.04
2.800e-02,3.04
2.820e-02,3.04
2.840e-02,3.04
2.860e-02,3.12
2.880e-02,3.12
2.900e-02,3.12
2.920e-02,3.04
2.940e-02,3.04
2.960e-02,3.04
2.980e-02,2.96
3.000e-02,3.04
3.020e-02,3.04
3.040e-02,3.04
3.060e-02,3.04
3.080e-02,3.04
3.100e-02,2.96
3.120e-02,2.96
3.140e-02,2.96
3.160e-02,2.88
3.180e-02,2.8
3.200e-02,2.88
3.220e-02,2.88
3.240e-02,2.88
3.260e-02,2.88
3.280e-02,2.88
3.300e-02,2.88
3.320e-02,2.88
3.340e-02,2.88
3.360e-02,2.8
3.380e-02,2.88
3.400e-02,2.88
3.420e-02,2.8
3.440e-02,2.96
3.460e-02,2.8
3.480e-02,2.96
3.500e-02,2.88
3.520e-02,2.96
3.540e-02,2.96
3.560e-02,2.96
3.580e-02,3.04
3.600e-02,2.96
3.620e-02,2.96
3.640e-02,2.96
3.660e-02,3.04
3.680e-02,3.04
3.700e-02,3.04
3.720e-02,3.12
3.740e-02,3.04
3.760e-02,3.04
3.780e-02,3.04
3.800e-02,3.04
3.820e-02,3.04
3.840e-02,3.04
3.860e-02,3.04
3.880e-02,3.04
