Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0001
Horizontal Delay,0
Sample Interval,1e-06
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Vertical Position,0
,
,
,
Label,
TIME,CH1
1.30e-04,4.4
1.31e-04,4.4
1.32e-04,4.6
1.33e-04,4.4
1.34e-04,4.6
1.35e-04,4.6
1.36e-04,4.4
1.37e-04,4.4
1.38e-04,4.6
1.39e-04,4.4
1.40e-04,4.4
1.41e-04,4.4
1.42e-04,4.4
1.43e-04,4.4
1.44e-04,4.4
1.45e-04,4.6
1.46e-04,4.6
1.47e-04,4.4
1.48e-04,4.6
1.49e-04,4.4
1.50e-04,4.6
1.51e-04,4.4
1.52e-04,4.4
1.53e-04,4.6
1.54e-04,4.4
1.55e-04,4.4
1.56e-04,4.6
1.57e-04,4.4
1.58e-04,4.6
1.59e-04,4.4
1.60e-04,4.4
1.61e-04,4.4
1.62e-04,4.4
1.63e-04,4.6
1.64e-04,4.4
1.65e-04,4.6
1.66e-04,4.6
1.67e-04,4.4
1.68e-04,4.6
1.69e-04,4.4
1.70e-04,4.4
1.71e-04,4.6
1.72e-04,4.4
1.73e-04,4.6
1.74e-04,4.4
1.75e-04,4.4
1.76e-04,4.6
1.77e-04,4.4
1.78e-04,4.4
1.79e-04,4.6
1.80e-04,4.6
1.81e-04,4.2
1.82e-04,4.6
1.83e-04,4.6
1.84e-04,4.4
1.85e-04,4.6
1.86e-04,4.6
1.87e-04,4.6
1.88e-04,4.6
1.89e-04,4.6
1.90e-04,4.4
1.91e-04,4.4
1.92e-04,4.6
1.93e-04,4.6
1.94e-04,4.4
1.95e-04,4.6
1.96e-04,4.4
1.97e-04,4.6
1.98e-04,4.6
1.99e-04,4.6
2.00e-04,4.6
2.01e-04,4.6
2.02e-04,4.4
2.03e-04,4.4
2.04e-04,4.4
2.05e-04,4.4
2.06e-04,4.4
2.07e-04,4.6
2.08e-04,4.4
2.09e-04,4.6
2.10e-04,4.6
2.11e-04,4.6
2.12e-04,4.6
2.13e-04,4.6
2.14e-04,4.6
2.15e-04,4.4
2.16e-04,4.6
2.17e-04,4.6
2.18e-04,4.4
2.19e-04,4.6
2.20e-04,4.6
2.21e-04,4.6
2.22e-04,4.4
2.23e-04,4.6
2.24e-04,4.6
2.25e-04,4.4
2.26e-04,4.6
2.27e-04,4.6
2.28e-04,4.4
2.29e-04,4.4
2.30e-04,4.6
2.31e-04,4.4
2.32e-04,4.4
2.33e-04,4.4
2.34e-04,4.4
2.35e-04,4.6
2.36e-04,4.4
2.37e-04,4.6
2.38e-04,4.4
2.39e-04,4.6
2.40e-04,4.4
2.41e-04,4.4
2.42e-04,4.4
2.43e-04,4.4
2.44e-04,4.4
2.45e-04,4.4
2.46e-04,4.6
2.47e-04,4.4
2.48e-04,4.4
2.49e-04,4.4
2.50e-04,4.4
2.51e-04,4.4
2.52e-04,4.4
2.53e-04,4.4
2.54e-04,4.4
2.55e-04,4.8
2.56e-04,4.4
2.57e-04,4.6
2.58e-04,4.4
2.59e-04,4.4
2.60e-04,4.6
2.61e-04,4.4
2.62e-04,4.6
2.63e-04,4.4
2.64e-04,4.6
2.65e-04,4.6
2.66e-04,4.6
2.67e-04,4.4
2.68e-04,4.6
2.69e-04,4.4
2.70e-04,4.6
2.71e-04,4.6
2.72e-04,4.4
2.73e-04,4.2
2.74e-04,4.6
2.75e-04,4.4
2.76e-04,4.4
2.77e-04,4.4
2.78e-04,4.4
2.79e-04,4.6
2.80e-04,4.6
2.81e-04,4.6
2.82e-04,4.6
2.83e-04,4.6
2.84e-04,4.6
2.85e-04,4.6
2.86e-04,4.6
2.87e-04,4.4
2.88e-04,4.6
2.89e-04,4.6
2.90e-04,4.6
2.91e-04,4.6
2.92e-04,4.6
2.93e-04,4.4
2.94e-04,4.4
2.95e-04,4.4
2.96e-04,4.6
2.97e-04,4.4
2.98e-04,4.6
2.99e-04,4.4
3.00e-04,4.4
3.01e-04,4.6
3.02e-04,4.6
3.03e-04,4.4
3.04e-04,4.6
3.05e-04,4.6
3.06e-04,4.6
3.07e-04,4.4
3.08e-04,4.6
3.09e-04,4.4
3.10e-04,4.8
3.11e-04,4.6
3.12e-04,4.4
3.13e-04,4.4
3.14e-04,4.6
3.15e-04,4.6
3.16e-04,4.4
3.17e-04,4.4
3.18e-04,4.4
3.19e-04,4.6
3.20e-04,4.4
3.21e-04,4.4
3.22e-04,4.4
3.23e-04,4.6
3.24e-04,4.6
3.25e-04,4.4
3.26e-04,4.4
3.27e-04,4.6
3.28e-04,4.6
3.29e-04,4.4
3.30e-04,4.6
3.31e-04,4.4
3.32e-04,4.6
3.33e-04,4.6
3.34e-04,4.4
3.35e-04,4.6
3.36e-04,4.6
3.37e-04,4.4
3.38e-04,4.6
3.39e-04,4.4
3.40e-04,4.6
3.41e-04,4.4
3.42e-04,4.6
3.43e-04,4.6
3.44e-04,4.6
3.45e-04,4.6
3.46e-04,4.6
3.47e-04,4.6
3.48e-04,4.4
3.49e-04,4.6
3.50e-04,4.6
3.51e-04,4.6
3.52e-04,4.4
3.53e-04,4.4
3.54e-04,4.4
3.55e-04,4.4
3.56e-04,4.6
3.57e-04,4.6
3.58e-04,4.6
3.59e-04,4.4
3.60e-04,4.6
3.61e-04,4.6
3.62e-04,4.6
3.63e-04,4.4
3.64e-04,4.4
3.65e-04,4.4
3.66e-04,4.6
3.67e-04,4.6
